year,RAI
1981,-0.21909855
1982,-2.9781768
1983,-0.71761495
1984,0.59366137
1985,-0.7610598
1986,-0.47028795
1987,-1.1841997
1988,-0.488651
1989,1.5350276
1990,-1.0746862
1991,-0.73586637
1992,0.5964246
1993,-0.2683448
1994,-2.185237
1995,-0.44233224
1996,0.011903539
1997,-3.6468468
1998,-0.7516775
1999,0.08892975
2000,0.43268266
2001,1.6776595
2002,-1.9802468
2003,-2.3524055
2004,0.30933982
2005,0.1862404
2006,-1.4193498
2007,0.917407
2008,0.95767653
2009,-1.4033144
2010,3.8488367
2011,-0.56390876
2012,-1.1041818
2013,2.8297718
2014,1.8457541
2015,-3.3823514
2016,4.050042
2017,1.428011
2018,-1.9344943
2019,-2.4605672
2020,1.3924646
2021,1.2581297
2022,2.0731435
