year,deepnn
1981,-0.5224764943122864
1982,-0.5142886638641357
1983,-0.5060991048812866
1984,-0.49790793657302856
1985,-0.4896601140499115
1986,-0.4808349013328552
1987,-0.47203657031059265
1988,-0.4629717767238617
1989,-0.45389553904533386
1990,-0.4427788555622101
1991,-0.4323120713233948
1992,-0.43443986773490906
1993,-0.4568258821964264
1994,-0.5353074073791504
1995,-0.6146907210350037
1996,-0.7257949113845825
1997,-3.0670340061187744
1998,-0.7799405455589294
1999,-0.14770931005477905
2000,-0.07468942552804947
2001,-0.009366726502776146
2002,0.07040103524923325
2003,0.16855886578559875
2004,0.2732846736907959
2005,0.3775285482406616
2006,0.4800835847854614
2007,0.5791098475456238
2008,0.6780182123184204
2009,0.7769867181777954
2010,0.876015305519104
2011,0.9751012325286865
2012,1.0742390155792236
2013,1.173437476158142
2014,1.2726958990097046
2015,1.372015118598938
2016,1.4713937044143677
2017,1.5708327293395996
2018,1.6703321933746338
2019,1.7698917388916016
2020,1.8695118427276611
2021,1.9691917896270752
2022,2.0688583850860596
